Id,ShortName,FullName,RelativeSize
505b3eb0-2822-11f0-8a90-d85ed33237df,dl,desiliter,1.0
505b4230-2822-11f0-8a90-d85ed33237df,l,liter,10.0
505b4395-2822-11f0-8a90-d85ed33237df,ts,teskje,0.05
505b4465-2822-11f0-8a90-d85ed33237df,ss,spiseskje,0.15
505b4524-2822-11f0-8a90-d85ed33237df,kg,kilogram,1000.0
505b45d1-2822-11f0-8a90-d85ed33237df,g,gram,1.0
505b4670-2822-11f0-8a90-d85ed33237df,mg,milligram,0.01
505b473a-2822-11f0-8a90-d85ed33237df,µg,mikrogram,0.0001
505b4800-2822-11f0-8a90-d85ed33237df,stk,stykk,1.0
505b48aa-2822-11f0-8a90-d85ed33237df,skive,skive,1.0
505b4952-2822-11f0-8a90-d85ed33237df,kJ,kilojoule,1.0
505b4a00-2822-11f0-8a90-d85ed33237df,kcal,kilokalorier,1.0
